722.42,38.20,372.31,-3.1339,0.0623,3.0201,
729.29,18.10,359.01,-3.0707,-0.0251,-3.0870,
722.28,-29.25,379.78,-3.0698,-0.0336,3.0344,
733.32,-76.08,337.28,-3.0230,-0.0286,2.9445,
819.71,-158.23,399.85,3.1112,-0.0017,3.0228,
913.36,-147.43,377.35,3.1112,-0.0016,3.0946,
883.61,-132.68,343.73,3.0238,-0.0072,3.0968,
916.21,-103.56,358.15,3.0238,-0.0072,3.0513,
917.46,-20.85,348.21,3.0237,-0.0096,-3.0942,
807.27,-20.85,348.22,3.0958,0.0354,3.0377,
823.68,-8.00,356.02,3.1094,-0.0943,3.0373,
747.55,-1.63,333.63,3.1102,-0.0714,-3.1047,
720.06,36.58,369.05,-3.1191,0.0110,3.0528,
801.27,-15.88,397.38,-3.1190,0.0111,-3.0815,
823.18,-12.68,384.81,-3.1182,0.0246,3.0509,
810.68,-76.58,354.32,-3.1269,0.0239,3.0507
